,X,Channel,Activity,Genotype,Sex,Age,Rep
393,23,adj_Monitor10_ch30,1183.8,Y160C,F,W0,R4
394,648,adj_Monitor34_ch7,1183,KO,M,W0,R1
395,781,adj_Monitor41_ch15,1181,Y160C,M,W0,R4
396,51,adj_Monitor11_ch28,1179.6,W422X,F,W0,R4
397,770,adj_Monitor3_ch5,1178.4,W422X,M,W0,R3
398,771,adj_Monitor3_ch6,1178.4,W422X,M,W0,R3
399,274,adj_Monitor20_ch31,1178.2,Y160C,M,W0,R1
400,634,adj_Monitor34_ch23,1178,KO,M,W0,R1
401,486,adj_Monitor2_ch28,1176.4,WG2,M,W0,R2
402,644,adj_Monitor34_ch32,1176,KO,M,W0,R1
403,157,adj_Monitor16_ch8,1175.2,WG2,F,W0,R4
404,397,adj_Monitor26_ch29,1174.8,WG2,F,W0,R3
405,6,adj_Monitor10_ch15,1174.6,Y160C,F,W0,R4
406,929,adj_Monitor50_ch5,1173.4,W422X,F,W0,R3
407,796,adj_Monitor41_ch29,1172.6,Y160C,M,W0,R4
408,121,adj_Monitor15_ch4,1172.2,Y160C,F,W0,R2
409,832,adj_Monitor42_ch32,1172.2,W422X,F,W0,R2
410,469,adj_Monitor2_ch11,1171.4,WG2,M,W0,R2
411,811,adj_Monitor42_ch13,1171.4,W422X,F,W0,R2
412,501,adj_Monitor30_ch12,1170.6,Y160C,F,W0,R1
413,417,adj_Monitor27_ch18,1169.6,WG2,M,W0,R4
414,956,adj_Monitor5_ch30,1169.6,WG2,F,W0,R2
415,106,adj_Monitor15_ch2,1168.6,Y160C,F,W0,R2
416,979,adj_Monitor6_ch23,1168,KO,F,W0,R4
417,714,adj_Monitor39_ch12,1165.6,W422X,M,W0,R2
418,647,adj_Monitor34_ch6,1165.2,KO,M,W0,R1
419,968,adj_Monitor6_ch13,1163,KO,F,W0,R4
420,301,adj_Monitor21_ch27,1162.2,WG2,M,W0,R3
421,725,adj_Monitor39_ch22,1161.8,W422X,M,W0,R2
422,514,adj_Monitor30_ch25,1161.4,Y160C,F,W0,R1
423,645,adj_Monitor34_ch4,1160.8,KO,M,W0,R1
424,948,adj_Monitor5_ch23,1160,WG2,F,W0,R2
425,921,adj_Monitor50_ch27,1159.4,W422X,F,W0,R3
426,746,adj_Monitor3_ch12,1159.2,W422X,M,W0,R3
427,655,adj_Monitor35_ch13,1158.6,KO,M,W0,R3
428,34,adj_Monitor11_ch12,1158.6,W422X,F,W0,R4
429,210,adj_Monitor19_ch3,1158.4,KO,M,W0,R2
430,416,adj_Monitor27_ch17,1157.2,WG2,M,W0,R4
431,839,adj_Monitor45_ch1,1156.4,KO,F,W0,R3
432,275,adj_Monitor20_ch32,1155.4,Y160C,M,W0,R1
433,573,adj_Monitor32_ch22,1154.2,WG2,M,W0,R1
434,755,adj_Monitor3_ch20,1153.4,W422X,M,W0,R3
435,966,adj_Monitor6_ch11,1152.4,KO,F,W0,R4
436,421,adj_Monitor27_ch22,1152.2,WG2,M,W0,R4
437,161,adj_Monitor18_ch11,1150.6,KO,F,W0,R2
438,850,adj_Monitor45_ch2,1150.2,KO,F,W0,R3
439,366,adj_Monitor24_ch29,1150.2,WG2,F,W0,R1
440,268,adj_Monitor20_ch25,1149.6,Y160C,M,W0,R1
441,361,adj_Monitor24_ch24,1149.2,WG2,F,W0,R1
442,553,adj_Monitor31_ch4,1148.6,W422X,M,W0,R4
443,550,adj_Monitor31_ch30,1146.4,W422X,M,W0,R4
444,663,adj_Monitor35_ch20,1146,KO,M,W0,R3
445,695,adj_Monitor38_ch22,1145.6,KO,M,W0,R4
446,264,adj_Monitor20_ch20,1145,Y160C,M,W0,R1
447,30,adj_Monitor10_ch9,1144,Y160C,F,W0,R4
448,765,adj_Monitor3_ch3,1143.4,W422X,M,W0,R3
449,430,adj_Monitor27_ch31,1140.8,WG2,M,W0,R4
450,673,adj_Monitor35_ch30,1140.4,KO,M,W0,R3
451,640,adj_Monitor34_ch29,1138,KO,M,W0,R1
452,511,adj_Monitor30_ch22,1137.4,Y160C,F,W0,R1
453,900,adj_Monitor49_ch8,1137.2,Y160C,M,W0,R2
454,480,adj_Monitor2_ch22,1137.2,WG2,M,W0,R2
455,555,adj_Monitor31_ch6,1135.4,W422X,M,W0,R4
456,321,adj_Monitor22_ch16,1135.2,KO,F,W0,R1
457,137,adj_Monitor16_ch19,1134.6,WG2,F,W0,R4
458,580,adj_Monitor32_ch29,1134.6,WG2,M,W0,R1
459,140,adj_Monitor16_ch21,1133.6,WG2,F,W0,R4
460,55,adj_Monitor11_ch31,1133,W422X,F,W0,R4
461,181,adj_Monitor18_ch3,1133,KO,F,W0,R2
462,953,adj_Monitor5_ch28,1131.4,WG2,F,W0,R2
463,374,adj_Monitor24_ch7,1131.2,WG2,F,W0,R1
464,438,adj_Monitor28_ch10,1130.4,W422X,M,W0,R1
465,50,adj_Monitor11_ch27,1130.2,W422X,F,W0,R4
466,531,adj_Monitor31_ch12,1129.4,W422X,M,W0,R4
467,1,adj_Monitor10_ch10,1127.8,Y160C,F,W0,R4
468,754,adj_Monitor3_ch2,1126.8,W422X,M,W0,R3
469,684,adj_Monitor38_ch12,1126.2,KO,M,W0,R4
470,26,adj_Monitor10_ch5,1125.8,Y160C,F,W0,R4
471,345,adj_Monitor22_ch9,1125.2,KO,F,W0,R1
472,782,adj_Monitor41_ch16,1124.2,Y160C,M,W0,R4
473,958,adj_Monitor5_ch32,1123.4,WG2,F,W0,R2
474,343,adj_Monitor22_ch7,1123,KO,F,W0,R1
475,434,adj_Monitor27_ch7,1121.8,WG2,M,W0,R4
476,704,adj_Monitor38_ch31,1120.2,KO,M,W0,R4
477,542,adj_Monitor31_ch22,1119,W422X,M,W0,R4
478,245,adj_Monitor1_ch32,1118,Y160C,F,W0,R3
479,191,adj_Monitor19_ch1,1118,KO,M,W0,R2
480,632,adj_Monitor34_ch20,1118,KO,M,W0,R1
481,821,adj_Monitor42_ch22,1117.4,W422X,F,W0,R2
482,24,adj_Monitor10_ch31,1117,Y160C,F,W0,R4
483,866,adj_Monitor45_ch6,1115.4,KO,F,W0,R3
484,319,adj_Monitor22_ch14,1115.2,KO,F,W0,R1
485,150,adj_Monitor16_ch30,1115,WG2,F,W0,R4
486,64,adj_Monitor14_ch10,1114.4,W422X,F,W0,R1
487,315,adj_Monitor22_ch10,1112.6,KO,F,W0,R1
488,91,adj_Monitor14_ch6,1111.2,W422X,F,W0,R1
489,520,adj_Monitor30_ch30,1110.2,Y160C,F,W0,R1
490,977,adj_Monitor6_ch21,1109,KO,F,W0,R4
491,282,adj_Monitor21_ch1,1108,WG2,M,W0,R3
492,965,adj_Monitor6_ch10,1107.8,KO,F,W0,R4
493,507,adj_Monitor30_ch19,1107.8,Y160C,F,W0,R1
494,335,adj_Monitor22_ch29,1107,KO,F,W0,R1
495,716,adj_Monitor39_ch14,1107,W422X,M,W0,R2
496,158,adj_Monitor16_ch9,1105.8,WG2,F,W0,R4
497,458,adj_Monitor28_ch3,1105.2,W422X,M,W0,R1
498,887,adj_Monitor49_ch25,1103.8,Y160C,M,W0,R2
499,329,adj_Monitor22_ch23,1103.8,KO,F,W0,R1
500,47,adj_Monitor11_ch24,1102.8,W422X,F,W0,R4
501,881,adj_Monitor49_ch2,1102.4,Y160C,M,W0,R2
502,729,adj_Monitor39_ch26,1102.2,W422X,M,W0,R2
503,320,adj_Monitor22_ch15,1101.2,KO,F,W0,R1
504,622,adj_Monitor34_ch10,1099.4,KO,M,W0,R1
505,962,adj_Monitor5_ch7,1098.4,WG2,F,W0,R2
506,378,adj_Monitor26_ch11,1098.4,WG2,F,W0,R3
507,869,adj_Monitor45_ch9,1098.2,KO,F,W0,R3
508,980,adj_Monitor6_ch24,1096.6,KO,F,W0,R4
509,932,adj_Monitor50_ch8,1096,W422X,F,W0,R3
510,973,adj_Monitor6_ch18,1095.6,KO,F,W0,R4
511,515,adj_Monitor30_ch26,1095.4,Y160C,F,W0,R1
512,668,adj_Monitor35_ch26,1095.2,KO,M,W0,R3
513,177,adj_Monitor18_ch26,1094.6,KO,F,W0,R2
514,257,adj_Monitor20_ch14,1094.2,Y160C,M,W0,R1
515,895,adj_Monitor49_ch32,1093,Y160C,M,W0,R2
516,68,adj_Monitor14_ch14,1092.8,W422X,F,W0,R1
517,522,adj_Monitor30_ch32,1092.2,Y160C,F,W0,R1
518,491,adj_Monitor2_ch32,1091.8,WG2,M,W0,R2
519,230,adj_Monitor1_ch19,1091.6,Y160C,F,W0,R3
520,206,adj_Monitor19_ch26,1091.4,KO,M,W0,R2
521,799,adj_Monitor41_ch31,1090.2,Y160C,M,W0,R4
522,989,adj_Monitor6_ch32,1090,KO,F,W0,R4
523,279,adj_Monitor20_ch7,1089.2,Y160C,M,W0,R1
524,344,adj_Monitor22_ch8,1088.8,KO,F,W0,R1
525,408,adj_Monitor27_ch1,1085.8,WG2,M,W0,R4
526,494,adj_Monitor2_ch6,1085.8,WG2,M,W0,R2
527,784,adj_Monitor41_ch18,1081.8,Y160C,M,W0,R4
528,874,adj_Monitor49_ch13,1081.6,Y160C,M,W0,R2
529,656,adj_Monitor35_ch14,1081.6,KO,M,W0,R3
530,358,adj_Monitor24_ch21,1081.4,WG2,F,W0,R1
531,67,adj_Monitor14_ch13,1081,W422X,F,W0,R1
532,592,adj_Monitor33_ch11,1080.6,Y160C,M,W0,R3
533,425,adj_Monitor27_ch26,1078.4,WG2,M,W0,R4
534,599,adj_Monitor33_ch19,1078.4,Y160C,M,W0,R3
535,99,adj_Monitor15_ch13,1078.2,Y160C,F,W0,R2
536,544,adj_Monitor31_ch24,1076.8,W422X,M,W0,R4
537,492,adj_Monitor2_ch4,1076,WG2,M,W0,R2
538,296,adj_Monitor21_ch22,1073.2,WG2,M,W0,R3
539,814,adj_Monitor42_ch16,1073.2,W422X,F,W0,R2
540,775,adj_Monitor41_ch1,1072.2,Y160C,M,W0,R4
541,556,adj_Monitor31_ch7,1071.8,W422X,M,W0,R4
542,851,adj_Monitor45_ch20,1071.8,KO,F,W0,R3
543,509,adj_Monitor30_ch20,1071.8,Y160C,F,W0,R1
544,348,adj_Monitor24_ch12,1071.6,WG2,F,W0,R1
545,674,adj_Monitor35_ch31,1070.8,KO,M,W0,R3
546,265,adj_Monitor20_ch21,1070.6,Y160C,M,W0,R1
547,307,adj_Monitor21_ch32,1070.4,WG2,M,W0,R3
548,926,adj_Monitor50_ch31,1070,W422X,F,W0,R3
549,422,adj_Monitor27_ch23,1069.8,WG2,M,W0,R4
550,227,adj_Monitor1_ch16,1069,Y160C,F,W0,R3
551,252,adj_Monitor20_ch1,1068.8,Y160C,M,W0,R1
552,646,adj_Monitor34_ch5,1068.2,KO,M,W0,R1
553,300,adj_Monitor21_ch26,1067.6,WG2,M,W0,R3
554,934,adj_Monitor5_ch1,1067.4,WG2,F,W0,R2
555,152,adj_Monitor16_ch32,1067.4,WG2,F,W0,R4
556,843,adj_Monitor45_ch13,1067,KO,F,W0,R3
557,173,adj_Monitor18_ch22,1065.6,KO,F,W0,R2
558,813,adj_Monitor42_ch15,1065.6,W422X,F,W0,R2
559,665,adj_Monitor35_ch22,1065.4,KO,M,W0,R3
560,10,adj_Monitor10_ch19,1065.2,Y160C,F,W0,R4
561,202,adj_Monitor19_ch22,1065,KO,M,W0,R2
562,898,adj_Monitor49_ch6,1063.2,Y160C,M,W0,R2
563,705,adj_Monitor38_ch4,1062.4,KO,M,W0,R4
564,543,adj_Monitor31_ch23,1062.2,W422X,M,W0,R4
565,613,adj_Monitor33_ch31,1061.6,Y160C,M,W0,R3
566,546,adj_Monitor31_ch26,1061.4,W422X,M,W0,R4
567,362,adj_Monitor24_ch25,1061.2,WG2,F,W0,R1
568,212,adj_Monitor19_ch31,1060.8,KO,M,W0,R2
569,828,adj_Monitor42_ch29,1060.4,W422X,F,W0,R2
570,160,adj_Monitor18_ch10,1060.2,KO,F,W0,R2
571,256,adj_Monitor20_ch13,1060.2,Y160C,M,W0,R1
572,825,adj_Monitor42_ch26,1059.4,W422X,F,W0,R2
573,333,adj_Monitor22_ch27,1059,KO,F,W0,R1
574,652,adj_Monitor35_ch10,1057.4,KO,M,W0,R3
575,32,adj_Monitor11_ch10,1057.4,W422X,F,W0,R4
576,830,adj_Monitor42_ch30,1056.8,W422X,F,W0,R2
577,603,adj_Monitor33_ch22,1056.8,Y160C,M,W0,R3
578,419,adj_Monitor27_ch20,1055.6,WG2,M,W0,R4
579,856,adj_Monitor45_ch26,1053.6,KO,F,W0,R3
580,654,adj_Monitor35_ch12,1053.2,KO,M,W0,R3
581,470,adj_Monitor2_ch12,1052.8,WG2,M,W0,R2
582,424,adj_Monitor27_ch25,1051.8,WG2,M,W0,R4
583,941,adj_Monitor5_ch16,1048,WG2,F,W0,R2
584,143,adj_Monitor16_ch24,1048,WG2,F,W0,R4
585,521,adj_Monitor30_ch31,1047.8,Y160C,F,W0,R1
586,459,adj_Monitor28_ch31,1047.4,W422X,M,W0,R1
587,412,adj_Monitor27_ch13,1047.4,WG2,M,W0,R4
588,702,adj_Monitor38_ch29,1047.2,KO,M,W0,R4
589,247,adj_Monitor1_ch5,1046.6,Y160C,F,W0,R3
590,380,adj_Monitor26_ch13,1046,WG2,F,W0,R3
591,986,adj_Monitor6_ch3,1045.2,KO,F,W0,R4
592,330,adj_Monitor22_ch24,1043.2,KO,F,W0,R1
593,807,adj_Monitor42_ch1,1042.4,W422X,F,W0,R2
594,209,adj_Monitor19_ch29,1042.4,KO,M,W0,R2
595,292,adj_Monitor21_ch19,1039.8,WG2,M,W0,R3
596,554,adj_Monitor31_ch5,1039.6,W422X,M,W0,R4
597,589,adj_Monitor32_ch9,1039.4,WG2,M,W0,R1
598,113,adj_Monitor15_ch26,1039.2,Y160C,F,W0,R2
599,115,adj_Monitor15_ch28,1039.2,Y160C,F,W0,R2
600,618,adj_Monitor33_ch7,1038,Y160C,M,W0,R3
601,134,adj_Monitor16_ch16,1037.2,WG2,F,W0,R4
602,779,adj_Monitor41_ch13,1036.8,Y160C,M,W0,R4
603,694,adj_Monitor38_ch21,1036.4,KO,M,W0,R4
604,385,adj_Monitor26_ch18,1036,WG2,F,W0,R3
605,190,adj_Monitor18_ch9,1035.4,KO,F,W0,R2
606,248,adj_Monitor1_ch6,1034.6,Y160C,F,W0,R3
607,405,adj_Monitor26_ch7,1034.6,WG2,F,W0,R3
608,643,adj_Monitor34_ch31,1034.2,KO,M,W0,R1
609,970,adj_Monitor6_ch15,1033,KO,F,W0,R4
610,783,adj_Monitor41_ch17,1033,Y160C,M,W0,R4
611,530,adj_Monitor31_ch11,1032,W422X,M,W0,R4
612,164,adj_Monitor18_ch14,1031.2,KO,F,W0,R2
613,837,adj_Monitor42_ch8,1030.4,W422X,F,W0,R2
614,291,adj_Monitor21_ch18,1029,WG2,M,W0,R3
615,444,adj_Monitor28_ch16,1028.4,W422X,M,W0,R1
616,110,adj_Monitor15_ch23,1025.8,Y160C,F,W0,R2
617,284,adj_Monitor21_ch11,1025.2,WG2,M,W0,R3
618,447,adj_Monitor28_ch19,1024,W422X,M,W0,R1
619,681,adj_Monitor38_ch1,1024,KO,M,W0,R4
620,820,adj_Monitor42_ch21,1022.8,W422X,F,W0,R2
621,759,adj_Monitor3_ch24,1022.6,W422X,M,W0,R3
622,118,adj_Monitor15_ch30,1022.2,Y160C,F,W0,R2
623,630,adj_Monitor34_ch19,1021.2,KO,M,W0,R1
624,601,adj_Monitor33_ch20,1018.6,Y160C,M,W0,R3
625,316,adj_Monitor22_ch11,1017.2,KO,F,W0,R1
626,98,adj_Monitor15_ch12,1016.2,Y160C,F,W0,R2
627,182,adj_Monitor18_ch30,1016.2,KO,F,W0,R2
628,70,adj_Monitor14_ch16,1015.8,W422X,F,W0,R1
629,435,adj_Monitor27_ch8,1015.6,WG2,M,W0,R4
630,957,adj_Monitor5_ch31,1015.4,WG2,F,W0,R2
631,657,adj_Monitor35_ch15,1015.4,KO,M,W0,R3
632,215,adj_Monitor19_ch5,1014.6,KO,M,W0,R2
633,327,adj_Monitor22_ch21,1013.2,KO,F,W0,R1
634,145,adj_Monitor16_ch26,1012.4,WG2,F,W0,R4
635,712,adj_Monitor39_ch10,1011.6,W422X,M,W0,R2
636,735,adj_Monitor39_ch31,1009.6,W422X,M,W0,R2
637,607,adj_Monitor33_ch26,1009.2,Y160C,M,W0,R3
638,94,adj_Monitor14_ch9,1008.4,W422X,F,W0,R1
639,753,adj_Monitor3_ch19,1007.2,W422X,M,W0,R3
640,259,adj_Monitor20_ch16,1007.2,Y160C,M,W0,R1
641,183,adj_Monitor18_ch31,1007,KO,F,W0,R2
642,468,adj_Monitor2_ch10,1006.8,WG2,M,W0,R2
643,587,adj_Monitor32_ch7,1006.6,WG2,M,W0,R1
644,590,adj_Monitor33_ch1,1005.6,Y160C,M,W0,R3
645,318,adj_Monitor22_ch13,1005.4,KO,F,W0,R1
646,285,adj_Monitor21_ch12,1005.4,WG2,M,W0,R3
647,884,adj_Monitor49_ch22,1005,Y160C,M,W0,R2
648,125,adj_Monitor15_ch8,1004.8,Y160C,F,W0,R2
649,467,adj_Monitor2_ch1,1004.8,WG2,M,W0,R2
650,404,adj_Monitor26_ch6,1003.2,WG2,F,W0,R3
651,411,adj_Monitor27_ch12,1002.4,WG2,M,W0,R4
652,90,adj_Monitor14_ch5,1002.4,W422X,F,W0,R1
653,276,adj_Monitor20_ch4,1002.4,Y160C,M,W0,R1
654,89,adj_Monitor14_ch4,1001.8,W422X,F,W0,R1
655,581,adj_Monitor32_ch3,1001.6,WG2,M,W0,R1
656,122,adj_Monitor15_ch5,1000.4,Y160C,F,W0,R2
657,795,adj_Monitor41_ch28,1000,Y160C,M,W0,R4
658,845,adj_Monitor45_ch15,999.8,KO,F,W0,R3
659,109,adj_Monitor15_ch22,999.8,Y160C,F,W0,R2
660,615,adj_Monitor33_ch4,998.6,Y160C,M,W0,R3
661,777,adj_Monitor41_ch11,997.6,Y160C,M,W0,R4
662,809,adj_Monitor42_ch11,996.4,W422X,F,W0,R2
663,406,adj_Monitor26_ch8,995,WG2,F,W0,R3
664,914,adj_Monitor50_ch20,994.2,W422X,F,W0,R3
665,598,adj_Monitor33_ch18,993.8,Y160C,M,W0,R3
666,220,adj_Monitor1_ch1,991.8,Y160C,F,W0,R3
667,670,adj_Monitor35_ch28,991.6,KO,M,W0,R3
668,983,adj_Monitor6_ch27,991,KO,F,W0,R4
669,597,adj_Monitor33_ch17,989.8,Y160C,M,W0,R3
670,308,adj_Monitor21_ch4,989.8,WG2,M,W0,R3
671,2,adj_Monitor10_ch11,989.6,Y160C,F,W0,R4
672,975,adj_Monitor6_ch2,989.4,KO,F,W0,R4
673,427,adj_Monitor27_ch29,989,WG2,M,W0,R4
674,877,adj_Monitor49_ch16,988.6,Y160C,M,W0,R2
675,388,adj_Monitor26_ch20,988.6,WG2,F,W0,R3
676,976,adj_Monitor6_ch20,987.6,KO,F,W0,R4
677,984,adj_Monitor6_ch28,987.2,KO,F,W0,R4
678,322,adj_Monitor22_ch17,987,KO,F,W0,R1
679,240,adj_Monitor1_ch28,986.4,Y160C,F,W0,R3
680,174,adj_Monitor18_ch23,986.4,KO,F,W0,R2
681,660,adj_Monitor35_ch18,986,KO,M,W0,R3
682,340,adj_Monitor22_ch4,984.6,KO,F,W0,R1
683,586,adj_Monitor32_ch6,983.8,WG2,M,W0,R1
684,671,adj_Monitor35_ch29,983.6,KO,M,W0,R3
685,165,adj_Monitor18_ch15,983.2,KO,F,W0,R2
686,317,adj_Monitor22_ch12,982.8,KO,F,W0,R1
687,910,adj_Monitor50_ch17,982.6,W422X,F,W0,R3
688,737,adj_Monitor39_ch4,982.2,W422X,M,W0,R2
689,848,adj_Monitor45_ch18,980.6,KO,F,W0,R3
690,896,adj_Monitor49_ch4,980,Y160C,M,W0,R2
691,513,adj_Monitor30_ch24,978.8,Y160C,F,W0,R1
692,163,adj_Monitor18_ch13,978,KO,F,W0,R2
693,403,adj_Monitor26_ch5,978,WG2,F,W0,R3
694,72,adj_Monitor14_ch18,977.8,W422X,F,W0,R1
695,633,adj_Monitor34_ch22,976.4,KO,M,W0,R1
696,990,adj_Monitor6_ch4,975.6,KO,F,W0,R4
697,801,adj_Monitor41_ch4,975.2,Y160C,M,W0,R4
698,324,adj_Monitor22_ch19,975.2,KO,F,W0,R1
699,461,adj_Monitor28_ch4,974,W422X,M,W0,R1
700,861,adj_Monitor45_ch30,972.8,KO,F,W0,R3
701,951,adj_Monitor5_ch26,970.6,WG2,F,W0,R2
702,675,adj_Monitor35_ch32,969.8,KO,M,W0,R3
703,517,adj_Monitor30_ch28,969.6,Y160C,F,W0,R1
704,641,adj_Monitor34_ch3,967.2,KO,M,W0,R1
705,336,adj_Monitor22_ch3,965.2,KO,F,W0,R1
706,107,adj_Monitor15_ch20,965,Y160C,F,W0,R2
707,298,adj_Monitor21_ch24,964.2,WG2,M,W0,R3
708,413,adj_Monitor27_ch14,964,WG2,M,W0,R4
709,959,adj_Monitor5_ch4,963.6,WG2,F,W0,R2
710,376,adj_Monitor26_ch1,961.8,WG2,F,W0,R3
711,967,adj_Monitor6_ch12,961.6,KO,F,W0,R4
712,398,adj_Monitor26_ch3,961.2,WG2,F,W0,R3
713,352,adj_Monitor24_ch16,961,WG2,F,W0,R1
714,355,adj_Monitor24_ch19,960,WG2,F,W0,R1
715,952,adj_Monitor5_ch27,960,WG2,F,W0,R2
716,873,adj_Monitor49_ch12,959.2,Y160C,M,W0,R2
717,549,adj_Monitor31_ch3,958.8,W422X,M,W0,R4
718,365,adj_Monitor24_ch28,958.4,WG2,F,W0,R1
719,706,adj_Monitor38_ch5,957.2,KO,M,W0,R4
720,390,adj_Monitor26_ch22,957,WG2,F,W0,R3
721,179,adj_Monitor18_ch28,957,KO,F,W0,R2
722,192,adj_Monitor19_ch10,955.6,KO,M,W0,R2
723,860,adj_Monitor45_ch3,955,KO,F,W0,R3
724,763,adj_Monitor3_ch28,954.6,W422X,M,W0,R3
725,363,adj_Monitor24_ch26,954.6,WG2,F,W0,R1
726,677,adj_Monitor35_ch6,954.4,KO,M,W0,R3
727,198,adj_Monitor19_ch19,954.4,KO,M,W0,R2
728,505,adj_Monitor30_ch16,954.2,Y160C,F,W0,R1
729,432,adj_Monitor27_ch4,954,WG2,M,W0,R4
730,575,adj_Monitor32_ch24,954,WG2,M,W0,R1
731,149,adj_Monitor16_ch3,953.8,WG2,F,W0,R4
732,332,adj_Monitor22_ch26,953.8,KO,F,W0,R1
733,260,adj_Monitor20_ch17,953.8,Y160C,M,W0,R1
734,683,adj_Monitor38_ch11,953.8,KO,M,W0,R4
735,859,adj_Monitor45_ch29,953.6,KO,F,W0,R3
736,180,adj_Monitor18_ch29,953.4,KO,F,W0,R2
737,199,adj_Monitor19_ch2,952.8,KO,M,W0,R2
738,937,adj_Monitor5_ch12,952.4,WG2,F,W0,R2
739,170,adj_Monitor18_ch2,951.4,KO,F,W0,R2
740,373,adj_Monitor24_ch6,951.2,WG2,F,W0,R1
741,917,adj_Monitor50_ch23,950.8,W422X,F,W0,R3
742,288,adj_Monitor21_ch15,950.2,WG2,M,W0,R3
743,426,adj_Monitor27_ch27,950,WG2,M,W0,R4
744,244,adj_Monitor1_ch31,949.2,Y160C,F,W0,R3
745,338,adj_Monitor22_ch31,947.6,KO,F,W0,R1
746,840,adj_Monitor45_ch10,945.8,KO,F,W0,R3
747,116,adj_Monitor15_ch29,944.8,Y160C,F,W0,R2
748,278,adj_Monitor20_ch6,944.2,Y160C,M,W0,R1
749,504,adj_Monitor30_ch15,943.4,Y160C,F,W0,R1
750,761,adj_Monitor3_ch26,943.2,W422X,M,W0,R3
751,842,adj_Monitor45_ch12,942.8,KO,F,W0,R3
752,609,adj_Monitor33_ch28,942,Y160C,M,W0,R3
753,835,adj_Monitor42_ch6,941.8,W422X,F,W0,R2
754,563,adj_Monitor32_ch13,941.6,WG2,M,W0,R1
755,217,adj_Monitor19_ch7,941.6,KO,M,W0,R2
756,596,adj_Monitor33_ch16,941,Y160C,M,W0,R3
757,760,adj_Monitor3_ch25,939.6,W422X,M,W0,R3
758,889,adj_Monitor49_ch27,938.4,Y160C,M,W0,R2
759,653,adj_Monitor35_ch11,937.8,KO,M,W0,R3
760,890,adj_Monitor49_ch28,936.6,Y160C,M,W0,R2
761,871,adj_Monitor49_ch10,936,Y160C,M,W0,R2
762,642,adj_Monitor34_ch30,935.6,KO,M,W0,R1
763,579,adj_Monitor32_ch28,935,WG2,M,W0,R1
764,756,adj_Monitor3_ch21,933.6,W422X,M,W0,R3
765,788,adj_Monitor41_ch21,932.6,Y160C,M,W0,R4
766,950,adj_Monitor5_ch25,931,WG2,F,W0,R2
767,299,adj_Monitor21_ch25,929,WG2,M,W0,R3
768,337,adj_Monitor22_ch30,927.4,KO,F,W0,R1
769,612,adj_Monitor33_ch30,926.6,Y160C,M,W0,R3
770,369,adj_Monitor24_ch31,925,WG2,F,W0,R1
771,758,adj_Monitor3_ch23,924.2,W422X,M,W0,R3
772,208,adj_Monitor19_ch28,924,KO,M,W0,R2
773,726,adj_Monitor39_ch23,922,W422X,M,W0,R2
774,961,adj_Monitor5_ch6,920,WG2,F,W0,R2
775,65,adj_Monitor14_ch11,919,W422X,F,W0,R1
776,371,adj_Monitor24_ch4,918.4,WG2,F,W0,R1
777,636,adj_Monitor34_ch25,917.8,KO,M,W0,R1
778,449,adj_Monitor28_ch20,917.6,W422X,M,W0,R1
779,608,adj_Monitor33_ch27,917.2,Y160C,M,W0,R3
780,827,adj_Monitor42_ch28,916.8,W422X,F,W0,R2
781,83,adj_Monitor14_ch28,915.6,W422X,F,W0,R1
782,383,adj_Monitor26_ch16,915.6,WG2,F,W0,R3
783,938,adj_Monitor5_ch13,915,WG2,F,W0,R2
784,127,adj_Monitor16_ch1,906.4,WG2,F,W0,R4
785,610,adj_Monitor33_ch29,906.4,Y160C,M,W0,R3
786,328,adj_Monitor22_ch22,904,KO,F,W0,R1
787,981,adj_Monitor6_ch25,902.6,KO,F,W0,R4
