,X,Channel,Activity,Genotype,Sex,Age,Rep
788,689,adj_Monitor38_ch17,902.2,KO,M,W0,R4
789,857,adj_Monitor45_ch27,902,KO,F,W0,R3
790,479,adj_Monitor2_ch21,901.8,WG2,M,W0,R2
791,185,adj_Monitor18_ch4,901.6,KO,F,W0,R2
792,216,adj_Monitor19_ch6,901.2,KO,M,W0,R2
793,703,adj_Monitor38_ch30,901.2,KO,M,W0,R4
794,386,adj_Monitor26_ch19,901,WG2,F,W0,R3
795,727,adj_Monitor39_ch24,899.4,W422X,M,W0,R2
796,872,adj_Monitor49_ch11,898.6,Y160C,M,W0,R2
797,96,adj_Monitor15_ch10,898.6,Y160C,F,W0,R2
798,519,adj_Monitor30_ch3,898.6,Y160C,F,W0,R1
799,277,adj_Monitor20_ch5,898.4,Y160C,M,W0,R1
800,356,adj_Monitor24_ch2,896.8,WG2,F,W0,R1
801,66,adj_Monitor14_ch12,896.4,W422X,F,W0,R1
802,591,adj_Monitor33_ch10,895.2,Y160C,M,W0,R3
803,699,adj_Monitor38_ch26,893.8,KO,M,W0,R4
804,794,adj_Monitor41_ch27,893,Y160C,M,W0,R4
805,810,adj_Monitor42_ch12,892.4,W422X,F,W0,R2
806,768,adj_Monitor3_ch32,892,W422X,M,W0,R3
807,478,adj_Monitor2_ch20,890,WG2,M,W0,R2
808,667,adj_Monitor35_ch25,889.2,KO,M,W0,R3
809,74,adj_Monitor14_ch2,889,W422X,F,W0,R1
810,569,adj_Monitor32_ch19,888.6,WG2,M,W0,R1
811,407,adj_Monitor26_ch9,888.2,WG2,F,W0,R3
812,243,adj_Monitor1_ch30,887.6,Y160C,F,W0,R3
813,372,adj_Monitor24_ch5,887.4,WG2,F,W0,R1
814,879,adj_Monitor49_ch18,887.4,Y160C,M,W0,R2
815,578,adj_Monitor32_ch27,887.2,WG2,M,W0,R1
816,701,adj_Monitor38_ch28,886.2,KO,M,W0,R4
817,483,adj_Monitor2_ch25,885.6,WG2,M,W0,R2
818,762,adj_Monitor3_ch27,882.8,W422X,M,W0,R3
819,159,adj_Monitor18_ch1,882,KO,F,W0,R2
820,893,adj_Monitor49_ch30,881.6,Y160C,M,W0,R2
821,772,adj_Monitor3_ch7,880.6,W422X,M,W0,R3
822,743,adj_Monitor3_ch1,880.4,W422X,M,W0,R3
823,433,adj_Monitor27_ch5,879.8,WG2,M,W0,R4
824,381,adj_Monitor26_ch14,879.4,WG2,F,W0,R3
825,39,adj_Monitor11_ch17,877.6,W422X,F,W0,R4
826,819,adj_Monitor42_ch20,877.2,W422X,F,W0,R2
827,568,adj_Monitor32_ch18,876.6,WG2,M,W0,R1
828,692,adj_Monitor38_ch2,876.2,KO,M,W0,R4
829,969,adj_Monitor6_ch14,876,KO,F,W0,R4
830,875,adj_Monitor49_ch14,875,Y160C,M,W0,R2
831,518,adj_Monitor30_ch29,874.8,Y160C,F,W0,R1
832,916,adj_Monitor50_ch22,872.8,W422X,F,W0,R3
833,894,adj_Monitor49_ch31,872.8,Y160C,M,W0,R2
834,818,adj_Monitor42_ch2,871.4,W422X,F,W0,R2
835,401,adj_Monitor26_ch32,870.8,WG2,F,W0,R3
836,387,adj_Monitor26_ch2,868.2,WG2,F,W0,R3
837,69,adj_Monitor14_ch15,867.2,W422X,F,W0,R1
838,878,adj_Monitor49_ch17,867,Y160C,M,W0,R2
839,584,adj_Monitor32_ch4,866.8,WG2,M,W0,R1
840,972,adj_Monitor6_ch17,866.8,KO,F,W0,R4
841,616,adj_Monitor33_ch5,863.8,Y160C,M,W0,R3
842,235,adj_Monitor1_ch23,862.2,Y160C,F,W0,R3
843,364,adj_Monitor24_ch27,859.2,WG2,F,W0,R1
844,499,adj_Monitor30_ch10,858.4,Y160C,F,W0,R1
845,489,adj_Monitor2_ch30,857.4,WG2,M,W0,R2
846,493,adj_Monitor2_ch5,857.4,WG2,M,W0,R2
847,251,adj_Monitor1_ch9,856.6,Y160C,F,W0,R3
848,571,adj_Monitor32_ch20,855.8,WG2,M,W0,R1
849,441,adj_Monitor28_ch13,854.4,W422X,M,W0,R1
850,680,adj_Monitor35_ch9,853.4,KO,M,W0,R3
851,295,adj_Monitor21_ch21,852.6,WG2,M,W0,R3
852,20,adj_Monitor10_ch28,851.8,Y160C,F,W0,R4
853,534,adj_Monitor31_ch15,851,W422X,M,W0,R4
854,379,adj_Monitor26_ch12,851,WG2,F,W0,R3
855,450,adj_Monitor28_ch21,849.8,W422X,M,W0,R1
856,734,adj_Monitor39_ch30,849.2,W422X,M,W0,R2
857,294,adj_Monitor21_ch20,849,WG2,M,W0,R3
858,625,adj_Monitor34_ch14,848.6,KO,M,W0,R1
859,431,adj_Monitor27_ch32,848.4,WG2,M,W0,R4
860,751,adj_Monitor3_ch17,848.4,W422X,M,W0,R3
861,883,adj_Monitor49_ch21,848,Y160C,M,W0,R2
862,778,adj_Monitor41_ch12,847,Y160C,M,W0,R4
863,471,adj_Monitor2_ch13,846.8,WG2,M,W0,R2
864,619,adj_Monitor33_ch8,846.2,Y160C,M,W0,R3
865,698,adj_Monitor38_ch25,845.6,KO,M,W0,R4
866,263,adj_Monitor20_ch2,845.4,Y160C,M,W0,R1
867,341,adj_Monitor22_ch5,845,KO,F,W0,R1
868,924,adj_Monitor50_ch3,844.8,W422X,F,W0,R3
869,15,adj_Monitor10_ch23,844.6,Y160C,F,W0,R4
870,588,adj_Monitor32_ch8,844.2,WG2,M,W0,R1
871,833,adj_Monitor42_ch4,843.8,W422X,F,W0,R2
872,559,adj_Monitor32_ch1,843,WG2,M,W0,R1
873,974,adj_Monitor6_ch19,842.8,KO,F,W0,R4
874,593,adj_Monitor33_ch12,842.4,Y160C,M,W0,R3
875,339,adj_Monitor22_ch32,842.4,KO,F,W0,R1
876,306,adj_Monitor21_ch31,842.2,WG2,M,W0,R3
877,525,adj_Monitor30_ch7,840.6,Y160C,F,W0,R1
878,439,adj_Monitor28_ch11,839.6,W422X,M,W0,R1
879,304,adj_Monitor21_ch3,838.4,WG2,M,W0,R3
880,535,adj_Monitor31_ch16,834.4,W422X,M,W0,R4
881,803,adj_Monitor41_ch6,833.6,Y160C,M,W0,R4
882,484,adj_Monitor2_ch26,833.2,WG2,M,W0,R2
883,824,adj_Monitor42_ch25,832.8,W422X,F,W0,R2
884,526,adj_Monitor30_ch8,832.6,Y160C,F,W0,R1
885,823,adj_Monitor42_ch24,831.8,W422X,F,W0,R2
886,562,adj_Monitor32_ch12,831.6,WG2,M,W0,R1
887,566,adj_Monitor32_ch16,830.8,WG2,M,W0,R1
888,789,adj_Monitor41_ch22,830,Y160C,M,W0,R4
889,423,adj_Monitor27_ch24,829.8,WG2,M,W0,R4
890,147,adj_Monitor16_ch28,829,WG2,F,W0,R4
891,805,adj_Monitor41_ch8,827,Y160C,M,W0,R4
892,787,adj_Monitor41_ch20,827,Y160C,M,W0,R4
893,283,adj_Monitor21_ch10,825.6,WG2,M,W0,R3
894,541,adj_Monitor31_ch21,822.4,W422X,M,W0,R4
895,785,adj_Monitor41_ch19,820.8,Y160C,M,W0,R4
896,108,adj_Monitor15_ch21,820.8,Y160C,F,W0,R2
897,844,adj_Monitor45_ch14,819.2,KO,F,W0,R3
898,446,adj_Monitor28_ch18,819,W422X,M,W0,R1
899,666,adj_Monitor35_ch24,818.2,KO,M,W0,R3
900,876,adj_Monitor49_ch15,816.6,Y160C,M,W0,R2
901,815,adj_Monitor42_ch17,814.6,W422X,F,W0,R2
902,604,adj_Monitor33_ch23,813.8,Y160C,M,W0,R3
903,585,adj_Monitor32_ch5,812.8,WG2,M,W0,R1
904,476,adj_Monitor2_ch19,812.4,WG2,M,W0,R2
905,457,adj_Monitor28_ch29,811.2,W422X,M,W0,R1
906,841,adj_Monitor45_ch11,808.8,KO,F,W0,R3
907,891,adj_Monitor49_ch29,808.2,Y160C,M,W0,R2
908,954,adj_Monitor5_ch29,805.8,WG2,F,W0,R2
909,892,adj_Monitor49_ch3,804.6,Y160C,M,W0,R2
910,773,adj_Monitor3_ch8,802.4,W422X,M,W0,R3
911,576,adj_Monitor32_ch25,801.4,WG2,M,W0,R1
912,466,adj_Monitor28_ch9,801.2,W422X,M,W0,R1
913,776,adj_Monitor41_ch10,791.8,Y160C,M,W0,R4
914,239,adj_Monitor1_ch27,789.4,Y160C,F,W0,R3
915,897,adj_Monitor49_ch5,789.2,Y160C,M,W0,R2
916,271,adj_Monitor20_ch28,788.6,Y160C,M,W0,R1
917,583,adj_Monitor32_ch32,785.6,WG2,M,W0,R1
918,463,adj_Monitor28_ch6,785.2,W422X,M,W0,R1
919,80,adj_Monitor14_ch25,785.2,W422X,F,W0,R1
920,638,adj_Monitor34_ch27,783.8,KO,M,W0,R1
921,817,adj_Monitor42_ch19,782.6,W422X,F,W0,R2
922,101,adj_Monitor15_ch15,781.6,Y160C,F,W0,R2
923,547,adj_Monitor31_ch27,776.4,W422X,M,W0,R4
924,477,adj_Monitor2_ch2,773,WG2,M,W0,R2
925,62,adj_Monitor11_ch9,772.6,W422X,F,W0,R4
926,286,adj_Monitor21_ch13,770.2,WG2,M,W0,R3
927,368,adj_Monitor24_ch30,767.2,WG2,F,W0,R1
928,148,adj_Monitor16_ch29,762.2,WG2,F,W0,R4
929,303,adj_Monitor21_ch29,760.8,WG2,M,W0,R3
930,582,adj_Monitor32_ch31,760.4,WG2,M,W0,R1
931,49,adj_Monitor11_ch26,759.8,W422X,F,W0,R4
932,460,adj_Monitor28_ch32,756.6,W422X,M,W0,R1
933,232,adj_Monitor1_ch20,755.6,Y160C,F,W0,R3
934,936,adj_Monitor5_ch11,754,WG2,F,W0,R2
935,620,adj_Monitor33_ch9,752.4,Y160C,M,W0,R3
936,221,adj_Monitor1_ch10,751.4,Y160C,F,W0,R3
937,594,adj_Monitor33_ch14,751.4,Y160C,M,W0,R3
938,745,adj_Monitor3_ch11,749.6,W422X,M,W0,R3
939,865,adj_Monitor45_ch5,749,KO,F,W0,R3
940,402,adj_Monitor26_ch4,747,WG2,F,W0,R3
941,75,adj_Monitor14_ch20,747,W422X,F,W0,R1
942,793,adj_Monitor41_ch26,744,Y160C,M,W0,R4
943,676,adj_Monitor35_ch5,742.8,KO,M,W0,R3
944,567,adj_Monitor32_ch17,742.6,WG2,M,W0,R1
945,310,adj_Monitor21_ch6,741,WG2,M,W0,R3
946,943,adj_Monitor5_ch19,740.8,WG2,F,W0,R2
947,982,adj_Monitor6_ch26,738.8,KO,F,W0,R4
948,272,adj_Monitor20_ch29,738.4,Y160C,M,W0,R1
949,204,adj_Monitor19_ch24,737.6,KO,M,W0,R2
950,437,adj_Monitor28_ch1,736.2,W422X,M,W0,R1
951,443,adj_Monitor28_ch15,733,W422X,M,W0,R1
952,886,adj_Monitor49_ch24,732.4,Y160C,M,W0,R2
953,888,adj_Monitor49_ch26,727.4,Y160C,M,W0,R2
954,570,adj_Monitor32_ch2,724.8,WG2,M,W0,R1
955,626,adj_Monitor34_ch15,718.4,KO,M,W0,R1
956,465,adj_Monitor28_ch8,717.6,W422X,M,W0,R1
957,384,adj_Monitor26_ch17,717,WG2,F,W0,R3
958,85,adj_Monitor14_ch3,711.6,W422X,F,W0,R1
959,800,adj_Monitor41_ch32,708.6,Y160C,M,W0,R4
960,600,adj_Monitor33_ch2,708,Y160C,M,W0,R3
961,629,adj_Monitor34_ch18,703,KO,M,W0,R1
962,488,adj_Monitor2_ch3,701.6,WG2,M,W0,R2
963,565,adj_Monitor32_ch15,698.2,WG2,M,W0,R1
964,532,adj_Monitor31_ch13,690.2,W422X,M,W0,R4
965,389,adj_Monitor26_ch21,687.4,WG2,F,W0,R3
966,747,adj_Monitor3_ch13,687.2,W422X,M,W0,R3
967,418,adj_Monitor27_ch19,685,WG2,M,W0,R4
968,690,adj_Monitor38_ch18,679.4,KO,M,W0,R4
969,258,adj_Monitor20_ch15,677.4,Y160C,M,W0,R1
970,201,adj_Monitor19_ch21,675.8,KO,M,W0,R2
971,311,adj_Monitor21_ch7,675.4,WG2,M,W0,R3
972,574,adj_Monitor32_ch23,674,WG2,M,W0,R1
973,611,adj_Monitor33_ch3,674,Y160C,M,W0,R3
974,548,adj_Monitor31_ch28,673,W422X,M,W0,R4
975,287,adj_Monitor21_ch14,672,WG2,M,W0,R3
976,133,adj_Monitor16_ch15,661.8,WG2,F,W0,R4
977,602,adj_Monitor33_ch21,661.8,Y160C,M,W0,R3
978,606,adj_Monitor33_ch25,658.4,Y160C,M,W0,R3
979,84,adj_Monitor14_ch29,654.2,W422X,F,W0,R1
980,669,adj_Monitor35_ch27,651.4,KO,M,W0,R3
981,831,adj_Monitor42_ch31,643,W422X,F,W0,R2
982,561,adj_Monitor32_ch11,641.4,WG2,M,W0,R1
983,114,adj_Monitor15_ch27,638.2,Y160C,F,W0,R2
984,399,adj_Monitor26_ch30,638.2,WG2,F,W0,R3
985,919,adj_Monitor50_ch25,637.8,W422X,F,W0,R3
986,482,adj_Monitor2_ch24,635.6,WG2,M,W0,R2
987,92,adj_Monitor14_ch7,613,W422X,F,W0,R1
988,305,adj_Monitor21_ch30,611.6,WG2,M,W0,R3
989,713,adj_Monitor39_ch11,605.4,W422X,M,W0,R2
990,691,adj_Monitor38_ch19,589.4,KO,M,W0,R4
991,392,adj_Monitor26_ch24,585.8,WG2,F,W0,R3
992,854,adj_Monitor45_ch23,585.8,KO,F,W0,R3
993,203,adj_Monitor19_ch23,562,KO,M,W0,R2
994,95,adj_Monitor15_ch1,555,Y160C,F,W0,R2
995,440,adj_Monitor28_ch12,548.2,W422X,M,W0,R1
996,124,adj_Monitor15_ch7,522.2,Y160C,F,W0,R2
997,289,adj_Monitor20_ch31,4652.4,Y160C,F,W3,R3
998,840,adj_Monitor41_ch15,3261.6,W422X,F,W3,R4
999,945,adj_Monitor6_ch25,2954.8,Y160C,F,W3,R1
1000,869,adj_Monitor42_ch12,2931.2,W422X,F,W3,R1
1001,922,adj_Monitor5_ch4,2851.2,W422X,F,W3,R3
1002,659,adj_Monitor34_ch1,2843.2,Y160C,F,W3,R2
1003,117,adj_Monitor14_ch4,2832,W422X,F,W3,R2
1004,328,adj_Monitor22_ch11,2797.2,Y160C,M,W3,R3
1005,627,adj_Monitor33_ch1,2701.8,KO,F,W3,R3
1006,903,adj_Monitor5_ch15,2621.8,W422X,F,W3,R3
1007,220,adj_Monitor19_ch21,2594.8,Y160C,F,W3,R4
1008,283,adj_Monitor20_ch24,2581.6,Y160C,F,W3,R3
1009,296,adj_Monitor21_ch1,2570.4,KO,F,W3,R1
1010,906,adj_Monitor5_ch18,2535.8,W422X,F,W3,R3
1011,687,adj_Monitor34_ch9,2525,Y160C,F,W3,R2
1012,955,adj_Monitor6_ch6,2520.6,Y160C,F,W3,R1
1013,682,adj_Monitor34_ch4,2487.2,Y160C,F,W3,R2
1014,913,adj_Monitor5_ch24,2486.4,W422X,F,W3,R3
1015,319,adj_Monitor21_ch32,2484,KO,F,W3,R1
1016,217,adj_Monitor19_ch19,2460.4,Y160C,F,W3,R4
1017,209,adj_Monitor19_ch11,2437.8,Y160C,F,W3,R4
1018,628,adj_Monitor33_ch10,2407.2,KO,F,W3,R3
1019,542,adj_Monitor30_ch17,2348.2,KO,F,W3,R2
1020,480,adj_Monitor29_ch18,2322.4,WG2,F,W3,R3
1021,880,adj_Monitor42_ch23,2321.2,W422X,F,W3,R1
1022,681,adj_Monitor34_ch32,2305.2,Y160C,F,W3,R2
1023,130,adj_Monitor15_ch16,2285.6,W422X,M,W3,R2
1024,292,adj_Monitor20_ch5,2280.2,Y160C,F,W3,R3
1025,632,adj_Monitor33_ch14,2241,KO,F,W3,R3
1026,466,adj_Monitor28_ch5,2221.4,WG2,F,W3,R2
1027,848,adj_Monitor41_ch22,2199,W422X,F,W3,R4
1028,33,adj_Monitor11_ch10,2188.8,Y160C,M,W3,R1
1029,664,adj_Monitor34_ch16,2178.4,Y160C,F,W3,R2
1030,304,adj_Monitor21_ch19,2178,KO,F,W3,R1
1031,88,adj_Monitor13_ch7,2175.8,KO,F,W3,R4
1032,934,adj_Monitor6_ch15,2173.6,Y160C,F,W3,R1
1033,868,adj_Monitor42_ch11,2170.4,W422X,F,W3,R1
1034,277,adj_Monitor20_ch18,2156.4,Y160C,F,W3,R3
1035,858,adj_Monitor41_ch31,2154.4,W422X,F,W3,R4
1036,79,adj_Monitor13_ch28,2144,KO,F,W3,R4
1037,308,adj_Monitor21_ch22,2139.8,KO,F,W3,R1
1038,935,adj_Monitor6_ch16,2138.8,Y160C,F,W3,R1
1039,316,adj_Monitor21_ch3,2137.2,KO,F,W3,R1
1040,551,adj_Monitor30_ch25,2117.8,KO,F,W3,R2
1041,295,adj_Monitor20_ch9,2109,Y160C,F,W3,R3
1042,311,adj_Monitor21_ch25,2106,KO,F,W3,R1
1043,71,adj_Monitor13_ch20,2103.6,KO,F,W3,R4
1044,778,adj_Monitor3_ch10,2094.4,Y160C,M,W3,R4
1045,284,adj_Monitor20_ch26,2087.2,Y160C,F,W3,R3
1046,279,adj_Monitor20_ch2,2076.8,Y160C,F,W3,R3
1047,891,adj_Monitor42_ch4,2070.2,W422X,F,W3,R1
1048,920,adj_Monitor5_ch31,2068.6,W422X,F,W3,R3
1049,637,adj_Monitor33_ch19,2066,KO,F,W3,R3
1050,95,adj_Monitor14_ch13,2057.2,W422X,F,W3,R2
1051,893,adj_Monitor42_ch6,2052.4,W422X,F,W3,R1
1052,887,adj_Monitor42_ch3,2041.8,W422X,F,W3,R1
1053,946,adj_Monitor6_ch26,2020,Y160C,F,W3,R1
1054,668,adj_Monitor34_ch2,2014.4,Y160C,F,W3,R2
1055,878,adj_Monitor42_ch21,2009,W422X,F,W3,R1
1056,902,adj_Monitor5_ch14,1978.2,W422X,F,W3,R3
1057,75,adj_Monitor13_ch24,1973.6,KO,F,W3,R4
1058,849,adj_Monitor41_ch23,1972.8,W422X,F,W3,R4
1059,428,adj_Monitor27_ch24,1970.2,WG2,M,W3,R1
1060,838,adj_Monitor41_ch13,1966.4,W422X,F,W3,R4
1061,486,adj_Monitor29_ch23,1966.2,WG2,F,W3,R3
1062,170,adj_Monitor16_ch28,1962.8,KO,M,W3,R2
1063,69,adj_Monitor13_ch19,1957.4,KO,F,W3,R4
1064,817,adj_Monitor40_ch2,1957.2,WG2,F,W3,R4
1065,911,adj_Monitor5_ch22,1955.8,W422X,F,W3,R3
1066,556,adj_Monitor30_ch3,1955,KO,F,W3,R2
1067,640,adj_Monitor33_ch21,1942.2,KO,F,W3,R3
1068,549,adj_Monitor30_ch23,1937.2,KO,F,W3,R2
1069,950,adj_Monitor6_ch3,1926.8,Y160C,F,W3,R1
1070,66,adj_Monitor13_ch15,1926.2,KO,F,W3,R4
1071,16,adj_Monitor10_ch24,1914.4,WG2,F,W3,R1
1072,419,adj_Monitor27_ch14,1910.8,WG2,M,W3,R1
1073,540,adj_Monitor30_ch15,1906.2,KO,F,W3,R2
1074,271,adj_Monitor20_ch11,1900.6,Y160C,F,W3,R3
1075,870,adj_Monitor42_ch13,1899.6,W422X,F,W3,R1
1076,667,adj_Monitor34_ch19,1890.8,Y160C,F,W3,R2
1077,472,adj_Monitor29_ch10,1890.4,WG2,F,W3,R3
1078,17,adj_Monitor10_ch25,1886.8,WG2,F,W3,R1
1079,324,adj_Monitor21_ch8,1873.6,KO,F,W3,R1
1080,558,adj_Monitor30_ch31,1872.6,KO,F,W3,R2
1081,309,adj_Monitor21_ch23,1867.6,KO,F,W3,R1
1082,882,adj_Monitor42_ch25,1866.4,W422X,F,W3,R1
1083,886,adj_Monitor42_ch29,1854.8,W422X,F,W3,R1
1084,418,adj_Monitor27_ch13,1845.8,WG2,M,W3,R1
1085,124,adj_Monitor15_ch10,1845.4,W422X,M,W3,R2
1086,160,adj_Monitor16_ch18,1839.8,KO,M,W3,R2
1087,541,adj_Monitor30_ch16,1837.4,KO,F,W3,R2
1088,953,adj_Monitor6_ch4,1836,Y160C,F,W3,R1
1089,896,adj_Monitor42_ch9,1834.8,W422X,F,W3,R1
1090,957,adj_Monitor6_ch8,1828.4,Y160C,F,W3,R1
1091,211,adj_Monitor19_ch13,1826.8,Y160C,F,W3,R4
1092,83,adj_Monitor13_ch31,1825.8,KO,F,W3,R4
1093,19,adj_Monitor10_ch27,1823.2,WG2,F,W3,R1
1094,727,adj_Monitor38_ch2,1816.4,WG2,M,W3,R4
1095,495,adj_Monitor29_ch31,1815.2,WG2,F,W3,R3
1096,322,adj_Monitor21_ch6,1814,KO,F,W3,R1
1097,103,adj_Monitor14_ch20,1809.2,W422X,F,W3,R2
1098,855,adj_Monitor41_ch29,1804.8,W422X,F,W3,R4
1099,64,adj_Monitor13_ch13,1804.8,KO,F,W3,R4
1100,671,adj_Monitor34_ch22,1804,Y160C,F,W3,R2
1101,93,adj_Monitor14_ch11,1801.6,W422X,F,W3,R2
1102,545,adj_Monitor30_ch2,1800.4,KO,F,W3,R2
1103,910,adj_Monitor5_ch21,1791.6,W422X,F,W3,R3
1104,879,adj_Monitor42_ch22,1785.8,W422X,F,W3,R1
1105,451,adj_Monitor28_ch17,1785,WG2,F,W3,R2
1106,298,adj_Monitor21_ch11,1784.6,KO,F,W3,R1
1107,539,adj_Monitor30_ch14,1775.4,KO,F,W3,R2
1108,929,adj_Monitor6_ch10,1771.2,Y160C,F,W3,R1
1109,845,adj_Monitor41_ch2,1769.6,W422X,F,W3,R4
1110,909,adj_Monitor5_ch20,1769,W422X,F,W3,R3
1111,851,adj_Monitor41_ch25,1761.2,W422X,F,W3,R4
1112,820,adj_Monitor40_ch23,1755.2,WG2,F,W3,R4
1113,37,adj_Monitor11_ch14,1738.4,Y160C,M,W3,R1
1114,97,adj_Monitor14_ch15,1738,W422X,F,W3,R2
1115,828,adj_Monitor40_ch30,1726,WG2,F,W3,R4
1116,426,adj_Monitor27_ch21,1725.4,WG2,M,W3,R1
1117,943,adj_Monitor6_ch23,1719.8,Y160C,F,W3,R1
1118,844,adj_Monitor41_ch19,1716,W422X,F,W3,R4
1119,912,adj_Monitor5_ch23,1711.8,W422X,F,W3,R3
1120,660,adj_Monitor34_ch11,1703.2,Y160C,F,W3,R2
1121,834,adj_Monitor41_ch1,1701.6,W422X,F,W3,R4
1122,550,adj_Monitor30_ch24,1689.6,KO,F,W3,R2
1123,54,adj_Monitor11_ch32,1687.8,Y160C,M,W3,R1
1124,47,adj_Monitor11_ch23,1686.4,Y160C,M,W3,R1
1125,233,adj_Monitor19_ch4,1682.8,Y160C,F,W3,R4
1126,15,adj_Monitor10_ch23,1678,WG2,F,W3,R1
1127,305,adj_Monitor21_ch2,1674,KO,F,W3,R1
1128,325,adj_Monitor21_ch9,1672.8,KO,F,W3,R1
1129,244,adj_Monitor1_ch15,1672,W422X,M,W3,R1
1130,288,adj_Monitor20_ch3,1670.4,Y160C,F,W3,R3
1131,470,adj_Monitor28_ch9,1669.6,WG2,F,W3,R2
1132,144,adj_Monitor15_ch31,1667.6,W422X,M,W3,R2
1133,901,adj_Monitor5_ch13,1667.4,W422X,F,W3,R3
1134,787,adj_Monitor3_ch2,1663.4,Y160C,M,W3,R4
1135,791,adj_Monitor3_ch23,1658.6,Y160C,M,W3,R4
1136,629,adj_Monitor33_ch11,1654.6,KO,F,W3,R3
1137,273,adj_Monitor20_ch14,1652.8,Y160C,F,W3,R3
1138,290,adj_Monitor20_ch32,1650.8,Y160C,F,W3,R3
1139,91,adj_Monitor14_ch1,1646.2,W422X,F,W3,R2
1140,884,adj_Monitor42_ch27,1645.2,W422X,F,W3,R1
1141,638,adj_Monitor33_ch2,1640,KO,F,W3,R3
1142,559,adj_Monitor30_ch32,1639.6,KO,F,W3,R2
1143,108,adj_Monitor14_ch25,1634.8,W422X,F,W3,R2
1144,605,adj_Monitor32_ch19,1631.8,KO,M,W3,R4
1145,63,adj_Monitor13_ch12,1628.2,KO,F,W3,R4
1146,563,adj_Monitor30_ch7,1627.6,KO,F,W3,R2
1147,255,adj_Monitor1_ch25,1619,W422X,M,W3,R1
1148,656,adj_Monitor33_ch7,1618.6,KO,F,W3,R3
1149,905,adj_Monitor5_ch17,1612.6,W422X,F,W3,R3
1150,43,adj_Monitor11_ch2,1611.8,Y160C,M,W3,R1
1151,44,adj_Monitor11_ch20,1611,Y160C,M,W3,R1
1152,789,adj_Monitor3_ch21,1608.2,Y160C,M,W3,R4
1153,657,adj_Monitor33_ch8,1605.2,KO,F,W3,R3
1154,538,adj_Monitor30_ch13,1600,KO,F,W3,R2
1155,179,adj_Monitor16_ch7,1599,KO,M,W3,R2
1156,917,adj_Monitor5_ch28,1597,W422X,F,W3,R3
1157,155,adj_Monitor16_ch12,1593,KO,M,W3,R2
1158,634,adj_Monitor33_ch16,1590,KO,F,W3,R3
1159,275,adj_Monitor20_ch16,1588.8,Y160C,F,W3,R3
1160,900,adj_Monitor5_ch12,1585.6,W422X,F,W3,R3
1161,544,adj_Monitor30_ch19,1585,KO,F,W3,R2
1162,121,adj_Monitor14_ch8,1583.8,W422X,F,W3,R2
1163,226,adj_Monitor19_ch27,1582.2,Y160C,F,W3,R4
1164,502,adj_Monitor29_ch9,1580,WG2,F,W3,R3
1165,261,adj_Monitor1_ch31,1579.6,W422X,M,W3,R1
1166,898,adj_Monitor5_ch10,1577.6,W422X,F,W3,R3
1167,122,adj_Monitor14_ch9,1574.8,W422X,F,W3,R2
1168,683,adj_Monitor34_ch5,1573.4,Y160C,F,W3,R2
1169,921,adj_Monitor5_ch32,1571.6,W422X,F,W3,R3
1170,806,adj_Monitor3_ch9,1570.2,Y160C,M,W3,R4
1171,666,adj_Monitor34_ch18,1570.2,Y160C,F,W3,R2
1172,85,adj_Monitor13_ch4,1569.8,KO,F,W3,R4
1173,610,adj_Monitor32_ch23,1569.4,KO,M,W3,R4
1174,881,adj_Monitor42_ch24,1568,W422X,F,W3,R1
1175,871,adj_Monitor42_ch14,1566.6,W422X,F,W3,R1
1176,889,adj_Monitor42_ch31,1566,W422X,F,W3,R1
1177,857,adj_Monitor41_ch30,1565.8,W422X,F,W3,R4
1178,944,adj_Monitor6_ch24,1562.4,Y160C,F,W3,R1
